Site;SousSite;Suivi;ilot;NomParcelle;Surface expé (ha);Surface réelle champ (ha);2017;2018;2019;2020;2021;2022;2023;2024;2025
03N;innovant;;;Grand Champs ;;15,82;;;;;Blé;Colza;Maïs;Blé;Colza
03N;innovant;sol;;Tortereau;;11,44;;;;;Luzerne;Luzerne;Luzerne;Maïs;Blé
03N;innovant;;;Carelles;;10,17;;;;;Maïs;Blé;Colza;Luzerne;Luzerne
03N;innovant;;;Champs Bonneau;;4,95;;;;;Colza;Maïs;Blé;Colza ;Maïs
63E;innovant;;;Les Cartes;;5,26;;;;Orge + dérobée;Méteil + PT;PT;PT;PT;Maïs
63E;innovant;;;Brugière devant maison;;5,91;;;;Orge + dérobée;PT ou céréales ? ;PT;PT;PT;Maïs
63E;innovant;sol;;La Garenne;;2,13;;;;Triticale;avoine;Céréales + dérobée;Méteil + PT;PT;PT
63E;innovant;;;La Brruyère;;5,06;;;;PT avec sursemis TV;PT ou maïs (selon sursemis);Maïs ou céréale + dérobée ?;Céréale + dérobée;Méteil PT;PT
63E;innovant;;;Parc à moutons;;3,52;;;;PT;Maïs ou orge + dérobée;Céréale + dérobée;Méteil PT;PT;PT
03S;innovant;;;Le Grand Domaine;16,80;16,80;Luzerne;Luzerne;Luzerne;Blé;Colza associé;;;;
03S;innovant;;;La Rouche;4,00;33,00;Maïs fourrage;Blé;Luzerne;Luzerne;Luzerne;;;;
03S;innovant;;;Champ Picat;2,00;17,40;Blé associé;Maïs;Blé;Luzerne;Luzerne;;;;
03S;innovant;sol;;Le Bouchonnet;33,90;33,90;Colza associé;Blé associé;Maïs;Blé;Luzerne;;;;
03S;innovant;;;Derrière bureau;4,00;4,00;blé;Colza associé;Blé associé;Maïs;Blé;;;;
43O;innovant;sol;;Perouet Clément (ilot 51);3,88;;Luzerne;Luzerne;Luzerne;Blé;Méteil;;;;
43O;innovant;;;Perouet Colomb (ilot 91);1,50;;Blé;Méteil;Orge;Luzerne;Luzerne;;;;
43O;innovant;;;Vieux Delat (ilot 40);0,72;;Luzerne;Luzerne;Luzerne;Luzerne;Blé;;;;
43O;innovant;;;Chaland (ilot 6);0,67;;Orge;Luzerne;Luzerne;Luzerne;Luzerne;;;;
63N;innovant;;;Champ Caillet;1,80;;Blé;Pois d'hiver;Maïs;Blé;Lin;;;;
63N;innovant;;;La Gane;2,48;;Tournesol;Blé;Pois d'hiver;Maïs;Blé;;;;
63N;innovant;;;L’étang;3,34;;Maïs;Blé;Lin;Blé;Pois d'hiver;;;;
63N;innovant;;;Les Moulards;1,83;;Pois d'hiver;Maïs;Blé;Lin;Blé;;;;
63N;innovant;sol;;La Ravière;3,83;;Blé;Lin;Blé;Pois d'hiver;Maïs;;;;
63S;innovant;;;Le Paratier;3,81;;Blé;Blé;Colza;Blé;Tournesol;;;;
63S;innovant;;;Rougnat;4,30;;Blé;Tournesol;Blé;Blé;Colza;;;;
63S;innovant;;;Le Colombier;6,87;;Colza;Blé;Tournesol;Blé;Lentille;;;;
63S;innovant;sol;;Usson;2,99;;Lentille;Colza;Blé;Tournesol;blé tendre d'hiver;;;;
63S;innovant;;;La Chaux;0,97;;Tournesol;Blé;Lentille;Colza;Blé;;;;
43E;innovant;;3;1;;;;;;;Mélange céréales;;;;
43E;innovant;;3;18;;;;;;;Maïs ensillage;;;;
43E;innovant;;3;10;;;;;;;Maïs ensillage;;;;
43E;innovant;;3;11;;;;;;;Maïs ensillage;;;;
43E;innovant;;3;4;;;;;;;PT mel légum>50%;;;;
43E;innovant;;3;7;;;;;;;PT <5 ans;;;;
43E;innovant;;3;8;;;;;;;PT <5 ans;;;;
43E;innovant;;3;14;;;;;;;PT <5 ans;;;;
43E;innovant;;3;15;;;;;;;PT <5 ans;;;;
43E;innovant;;3;16;;;;;;;PT <5 ans;;;;
43E;innovant;;3;17;;;;;;;PT <5 ans;;;;
43E;innovant;;3;3;;;;;;;bois paturé;;;;
43E;innovant;;3;2;;;;;;;PP PN;;;;
43E;innovant;;3;5;;;;;;;PP PN;;;;
43E;innovant;;3;9;;;;;;;PP PN;;;;
43E;innovant;;3;13;;;;;;;PP PN;;;;
43E;innovant;;3;6;;;;;;;Prairie rotation longue;;;;
43E;innovant;;3;12;;;;;;;Prairie rotation longue;;;;
